Submission ID,Respondent ID,Submitted at,À quelle tranche d'âge appartenez-vous ? ,"As-tu entendu parler de la semaine ""The Olympic Esports Series 2023"" ?",Quelles sont les épreuves que tu connais ?,Quelles sont les épreuves que tu connais ? (Danse (Just Dance)),Quelles sont les épreuves que tu connais ? (Tir à l'arc (Tic Tac Bow)),Quelles sont les épreuves que tu connais ? (Tir (Fortnite)),Quelles sont les épreuves que tu connais ? (Taekwondo (Virtual Taekwondo)),Quelles sont les épreuves que tu connais ? (Cyclisme (Zwift)),Quelles sont les épreuves que tu connais ? (Voile (Virtual Regatta)),Quelles sont les épreuves que tu connais ? (Baseball (Ebaseball : Power pros)),Quelles sont les épreuves que tu connais ? (Tennis (Tennis Clash)),Quelles sont les épreuves que tu connais ? (Moto (Gran Turismo)),Quelles sont les épreuves que tu connais ? (Echec (Chess.com)),Quelles sont les épreuves que tu connais ? (Triathlon (Zwift)),Quelles sont les épreuves que tu connais ? (Aucun),Connaissez-vous cette épreuve en raison de votre pratique du sport en question ou parce que vous l’avez découverte grâce à l’évènement ?,"Quelle a été votre expérience sur ""The Olympic Esports Series 2023"" ?

 [Visionnage (plateforme, fluidité)]","Quelle a été votre expérience sur ""The Olympic Esports Series 2023"" ?

 [Jeux choisies]","Quelle a été votre expérience sur ""The Olympic Esports Series 2023"" ?

 [Communications]","Connais-tu l'e-sport ? 
",Parmi ces jeux lesquels connais-tu?,Parmi ces jeux lesquels connais-tu? (League of Legends),Parmi ces jeux lesquels connais-tu? (Counter Strike),Parmi ces jeux lesquels connais-tu? (Call of Duty),Parmi ces jeux lesquels connais-tu? (Rocket League),Parmi ces jeux lesquels connais-tu? (Dota 2),Parmi ces jeux lesquels connais-tu? (Fortnite),Parmi ces jeux lesquels connais-tu? (Fifa),Parmi ces jeux lesquels connais-tu? (Trackmania),Parmi ces jeux lesquels connais-tu? (Street Fighter),Parmi ces jeux lesquels connais-tu? (Aucun),À quelle fréquence regardes-tu les compétitions ? ,"Pour toi, lequel est le plus attrayant : les sports olympiques traditionnels ou l'e-sport ?
",Penses-tu que le e-sport a sa place dans les JO ? ,Est-ce que tu serais plus enclin à regarder les JO si l’e-sport en faisait partie ?,"Parmi ces athlètes, lesquels connais-tu ?","Parmi ces athlètes, lesquels connais-tu ? (Teddy Riner)","Parmi ces athlètes, lesquels connais-tu ? (Lee Sang-hyeok (Faker))","Parmi ces athlètes, lesquels connais-tu ? (Simone Biles)","Parmi ces athlètes, lesquels connais-tu ? (Serena Williams)","Parmi ces athlètes, lesquels connais-tu ? (Seth Abner (scumperjumper))","Parmi ces athlètes, lesquels connais-tu ? (Choi Woo-je (Zeus))","Parmi ces athlètes, lesquels connais-tu ? (Shelly-Ann Fraser-Pryce)","Parmi ces athlètes, lesquels connais-tu ? (Kyle Storer (Torment))","Parmi ces athlètes, lesquels connais-tu ? (Nikola Kovač (NiKo))","Parmi ces athlètes, lesquels connais-tu ? (Hassiba Boulmerka)","Parmi ces athlètes, lesquels connais-tu ? (Aucun)"
OAzEjR,RD8zdd,2023-10-17 12:29:17,20-24 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","Fortnite, Fifa, Trackmania",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Quand je tombe dessus,E-sport,Oui,Oui,"Teddy Riner, Serena Williams, Choi Woo-je (Zeus), Shelly-Ann Fraser-Pryce, Simone Biles, Hassiba Boulmerka",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
GrzbXp,yJelNB,2023-10-17 12:29:49,25-29 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","Fifa, Fortnite, Rocket League, League of Legends, Counter Strike, Call of Duty, Street Fighter",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Quand je tombe dessus,Sport traditionnel,Non,Non,"Teddy Riner, Simone Biles, Serena Williams",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GrzbZL,jlGB91,2023-10-17 12:35:49,15-19 ans,Non,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"Oui, je regarde","League of Legends, Counter Strike, Call of Duty, Rocket League, Fortnite, Fifa, Street Fighter",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Que les grands évènments,E-sport,Oui,Oui,"Lee Sang-hyeok (Faker), Choi Woo-je (Zeus)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9dW4LQ,Z2Pd1e,2023-10-17 12:37:27,20-24 ans,Non,,,,,,,,,,,,,,,,,,"Non, mais je connais","League of Legends, Counter Strike",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,E-sport,Oui,Non,"Lee Sang-hyeok (Faker), Teddy Riner",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LdbOAv,bWNlY1,2023-10-17 12:37:36,25-29 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Counter Strike, Call of Duty, Rocket League, Dota 2, Fortnite, Fifa, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Que les grands évènments,Sport traditionnel,Oui,Oui,"Teddy Riner, Serena Williams, Nikola Kovač (NiKo), Lee Sang-hyeok (Faker)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
EPX6j4,X4Oe2L,2023-10-17 12:37:47,20-24 ans,Oui,"Danse (Just Dance), Tir (Fortnite), Triathlon (Zwift)",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Autre,,,,"Oui, je regarde","League of Legends, Counter Strike, Dota 2, Call of Duty, Rocket League, Fortnite, Fifa, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Que les grands évènments,Sport traditionnel,Non,Peut être,"Teddy Riner, Simone Biles, Serena Williams, Nikola Kovač (NiKo)",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
bl7Aqo,xJ9dz5,2023-10-17 12:38:58,15-19 ans,Non,,,,,,,,,,,,,,,,,,"Non, mais je connais","League of Legends, Counter Strike, Call of Duty, Rocket League, Fortnite, Fifa, Trackmania, Street Fighter, Dota 2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,Sport traditionnel,Non,Non,"Teddy Riner, Serena Williams",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Grz7R2,z7WKOR,2023-10-17 12:40:13,20-24 ans,Oui,Aucun,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Autre,,,,"Non, mais je connais","League of Legends, Rocket League, Call of Duty, Counter Strike, Fortnite, Fifa, Street Fighter",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,Sport traditionnel,Oui,Peut être,"Teddy Riner, Simone Biles, Serena Williams",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
VZ0xMj,ME8AZY,2023-10-17 12:43:00,25-29 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Rocket League, Counter Strike, Call of Duty, Dota 2, Fortnite, Fifa, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Que les grands évènments,E-sport,Oui,Oui,"Teddy Riner, Lee Sang-hyeok (Faker), Serena Williams, Choi Woo-je (Zeus)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BGX9jK,l6VNEp,2023-10-17 12:44:45,25-29 ans,Non,,,,,,,,,,,,,,,,,,"Oui, je regarde","League of Legends, Counter Strike, Call of Duty, Rocket League, Dota 2, Fortnite, Fifa, Trackmania, Street Fighter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1 à 2 fois par semaine,Sport traditionnel,Oui,Oui,"Teddy Riner, Lee Sang-hyeok (Faker), Serena Williams, Choi Woo-je (Zeus)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
